time,ax,ay,az,wx,wy,wz
2026-03-11T13:55:57.941Z,0.0161,0.0128,-0.1405,-0.0046,-0.0043,0.0039
2026-03-11T13:55:57.952Z,0.0168,0.0089,-0.1375,-0.0027,-0.0037,0.0035
2026-03-11T13:55:57.961Z,0.0143,0.0141,-0.1313,-0.0029,-0.0055,0.0043
2026-03-11T13:55:57.973Z,0.0245,0.0114,-0.1328,-0.0042,-0.0042,0.0043
2026-03-11T13:55:57.981Z,0.0095,0.0136,-0.1382,-0.0029,-0.0027,0.0023
2026-03-11T13:55:57.991Z,0.0124,0.0161,-0.1426,-0.0047,-0.0037,0.0049
2026-03-11T13:55:58.003Z,0.0145,0.0146,-0.1385,-0.0044,-0.0052,0.0034
2026-03-11T13:55:58.011Z,0.0130,0.0208,-0.1310,-0.0044,-0.0052,0.0034
2026-03-11T13:55:58.022Z,0.0207,0.0088,-0.1530,-0.0040,-0.0029,0.0032
2026-03-11T13:55:58.030Z,0.0152,0.0131,-0.1300,-0.0019,-0.0040,0.0039
2026-03-11T13:55:58.041Z,0.0133,0.0096,-0.1427,-0.0036,-0.0042,0.0035
2026-03-11T13:55:58.057Z,0.0139,0.0185,-0.1206,-0.0017,-0.0034,0.0015
2026-03-11T13:55:58.060Z,0.0159,0.0254,-0.1307,-0.0029,-0.0042,0.0029
2026-03-11T13:55:58.072Z,0.0208,0.0115,-0.1310,-0.0034,-0.0048,0.0030
2026-03-11T13:55:58.081Z,0.0209,0.0232,-0.1300,-0.0043,-0.0025,0.0030
2026-03-11T13:55:58.090Z,0.0206,0.0159,-0.1307,-0.0034,-0.0038,0.0044
2026-03-11T13:55:58.103Z,0.0160,0.0178,-0.1300,-0.0063,-0.0022,0.0033
2026-03-11T13:55:58.110Z,0.0094,0.0081,-0.1376,-0.0074,-0.0038,0.0021
2026-03-11T13:55:58.122Z,0.0152,0.0266,-0.1296,-0.0070,-0.0029,0.0030
2026-03-11T13:55:58.130Z,0.0162,0.0240,-0.1284,-0.0060,-0.0048,0.0029
2026-03-11T13:55:58.141Z,0.0227,0.0185,-0.1216,-0.0052,-0.0024,0.0043
2026-03-11T13:55:58.154Z,0.0224,0.0122,-0.1531,-0.0043,-0.0060,0.0018
2026-03-11T13:55:58.160Z,0.0311,0.0202,-0.1321,-0.0040,-0.0089,0.0044
2026-03-11T13:55:58.172Z,0.0162,0.0161,-0.1522,-0.0009,-0.0006,0.0035
2026-03-11T13:55:58.180Z,0.0203,0.0049,-0.1383,-0.0035,-0.0091,0.0037
2026-03-11T13:55:58.191Z,0.0196,0.0175,-0.1273,-0.0030,-0.0010,0.0029
2026-03-11T13:55:58.204Z,0.0241,0.0187,-0.1414,-0.0013,-0.0057,0.0026
2026-03-11T13:55:58.210Z,0.0098,0.0065,-0.1185,-0.0020,-0.0046,0.0043
2026-03-11T13:55:58.221Z,0.0171,0.0284,-0.1422,-0.0010,-0.0038,0.0041
2026-03-11T13:55:58.231Z,0.0157,0.0119,-0.1296,-0.0024,-0.0041,0.0030
2026-03-11T13:55:58.241Z,0.0119,0.0091,-0.1387,-0.0028,-0.0030,0.0040
2026-03-11T13:55:58.253Z,0.0104,-0.0001,-0.1430,-0.0030,-0.0067,0.0039
2026-03-11T13:55:58.261Z,0.0176,0.0187,-0.1377,-0.0031,-0.0038,0.0035
